Place_ID,가게명,주소,요일,시간대,평균혼잡도
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",화,6시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",화,7시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",화,8시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",화,9시,27
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,0시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,10시,33
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,11시,33
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,12시,54
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,13시,60
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,14시,60
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,15시,66
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,16시,69
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,17시,75
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,18시,90
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,19시,81
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,1시,0
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,20시,72
ChIJNUqe8Tx5ezUR9KaetgqvxJ8,913,"20 Soseong-ro, Michuhol-gu, Incheon",수,21시,48
